Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,DC1-LEAF1,Ethernet1,10.0.0.41/31,spine,DC1-SPINE1,Ethernet1,10.0.0.40/31
l3leaf,DC1-LEAF1,Ethernet2,10.0.0.43/31,spine,DC1-SPINE2,Ethernet1,10.0.0.42/31
l3leaf,DC1-LEAF2,Ethernet1,10.0.0.45/31,spine,DC1-SPINE1,Ethernet2,10.0.0.44/31
l3leaf,DC1-LEAF2,Ethernet2,10.0.0.47/31,spine,DC1-SPINE2,Ethernet2,10.0.0.46/31
l3leaf,DC1-LEAF3,Ethernet1,10.0.0.49/31,spine,DC1-SPINE1,Ethernet3,10.0.0.48/31
l3leaf,DC1-LEAF3,Ethernet2,10.0.0.51/31,spine,DC1-SPINE2,Ethernet3,10.0.0.50/31
l3leaf,DC1-LEAF4,Ethernet1,10.0.0.53/31,spine,DC1-SPINE1,Ethernet4,10.0.0.52/31
l3leaf,DC1-LEAF4,Ethernet2,10.0.0.55/31,spine,DC1-SPINE2,Ethernet4,10.0.0.54/31
l3leaf,DC1-LEAF5,Ethernet1,10.0.0.57/31,spine,DC1-SPINE1,Ethernet5,10.0.0.56/31
l3leaf,DC1-LEAF5,Ethernet2,10.0.0.59/31,spine,DC1-SPINE2,Ethernet5,10.0.0.58/31
l3leaf,DC1-LEAF6,Ethernet1,10.0.0.61/31,spine,DC1-SPINE1,Ethernet6,10.0.0.60/31
l3leaf,DC1-LEAF6,Ethernet2,10.0.0.63/31,spine,DC1-SPINE2,Ethernet6,10.0.0.62/31
