Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
l3leaf,DC1-LEAF1,Ethernet1,spine,DC1-SPINE1,Ethernet1,True
l3leaf,DC1-LEAF1,Ethernet2,spine,DC1-SPINE2,Ethernet1,True
l3leaf,DC1-LEAF1,Ethernet3,server,HOSTA,eth1,True
l3leaf,DC1-LEAF1,Ethernet4,server,HOSTB,eth1,True
l3leaf,DC1-LEAF1,Ethernet5,mlag_peer,DC1-LEAF2,Ethernet5,True
l3leaf,DC1-LEAF1,Ethernet6,mlag_peer,DC1-LEAF2,Ethernet6,True
l3leaf,DC1-LEAF2,Ethernet1,spine,DC1-SPINE1,Ethernet2,True
l3leaf,DC1-LEAF2,Ethernet2,spine,DC1-SPINE2,Ethernet2,True
l3leaf,DC1-LEAF2,Ethernet3,server,HOSTA,eth2,True
l3leaf,DC1-LEAF2,Ethernet4,server,HOSTB,eth2,True
l3leaf,DC1-LEAF2,Ethernet5,mlag_peer,DC1-LEAF1,Ethernet5,True
l3leaf,DC1-LEAF2,Ethernet6,mlag_peer,DC1-LEAF1,Ethernet6,True
l3leaf,DC1-LEAF3,Ethernet1,spine,DC1-SPINE1,Ethernet3,True
l3leaf,DC1-LEAF3,Ethernet2,spine,DC1-SPINE2,Ethernet3,True
l3leaf,DC1-LEAF3,Ethernet3,server,HOSTC,eth1,True
l3leaf,DC1-LEAF3,Ethernet4,server,HOSTD,eth1,True
l3leaf,DC1-LEAF3,Ethernet5,mlag_peer,DC1-LEAF4,Ethernet5,True
l3leaf,DC1-LEAF3,Ethernet6,mlag_peer,DC1-LEAF4,Ethernet6,True
l3leaf,DC1-LEAF4,Ethernet1,spine,DC1-SPINE1,Ethernet4,True
l3leaf,DC1-LEAF4,Ethernet2,spine,DC1-SPINE2,Ethernet4,True
l3leaf,DC1-LEAF4,Ethernet3,server,HOSTC,eth2,True
l3leaf,DC1-LEAF4,Ethernet4,server,HOSTD,eth2,True
l3leaf,DC1-LEAF4,Ethernet5,mlag_peer,DC1-LEAF3,Ethernet5,True
l3leaf,DC1-LEAF4,Ethernet6,mlag_peer,DC1-LEAF3,Ethernet6,True
l3leaf,DC1-LEAF5,Ethernet1,spine,DC1-SPINE1,Ethernet5,True
l3leaf,DC1-LEAF5,Ethernet2,spine,DC1-SPINE2,Ethernet5,True
l3leaf,DC1-LEAF5,Ethernet3,server,HOSTE,eth1,True
l3leaf,DC1-LEAF5,Ethernet4,server,HOSTF,eth1,True
l3leaf,DC1-LEAF5,Ethernet5,mlag_peer,DC1-LEAF6,Ethernet5,True
l3leaf,DC1-LEAF5,Ethernet6,mlag_peer,DC1-LEAF6,Ethernet6,True
l3leaf,DC1-LEAF6,Ethernet1,spine,DC1-SPINE1,Ethernet6,True
l3leaf,DC1-LEAF6,Ethernet2,spine,DC1-SPINE2,Ethernet6,True
l3leaf,DC1-LEAF6,Ethernet3,server,HOSTE,eth2,True
l3leaf,DC1-LEAF6,Ethernet4,server,HOSTF,eth2,True
l3leaf,DC1-LEAF6,Ethernet5,mlag_peer,DC1-LEAF5,Ethernet5,True
l3leaf,DC1-LEAF6,Ethernet6,mlag_peer,DC1-LEAF5,Ethernet6,True
spine,DC1-SPINE1,Ethernet1,l3leaf,DC1-LEAF1,Ethernet1,True
spine,DC1-SPINE1,Ethernet2,l3leaf,DC1-LEAF2,Ethernet1,True
spine,DC1-SPINE1,Ethernet3,l3leaf,DC1-LEAF3,Ethernet1,True
spine,DC1-SPINE1,Ethernet4,l3leaf,DC1-LEAF4,Ethernet1,True
spine,DC1-SPINE1,Ethernet5,l3leaf,DC1-LEAF5,Ethernet1,True
spine,DC1-SPINE1,Ethernet6,l3leaf,DC1-LEAF6,Ethernet1,True
spine,DC1-SPINE2,Ethernet1,l3leaf,DC1-LEAF1,Ethernet2,True
spine,DC1-SPINE2,Ethernet2,l3leaf,DC1-LEAF2,Ethernet2,True
spine,DC1-SPINE2,Ethernet3,l3leaf,DC1-LEAF3,Ethernet2,True
spine,DC1-SPINE2,Ethernet4,l3leaf,DC1-LEAF4,Ethernet2,True
spine,DC1-SPINE2,Ethernet5,l3leaf,DC1-LEAF5,Ethernet2,True
spine,DC1-SPINE2,Ethernet6,l3leaf,DC1-LEAF6,Ethernet2,True
